sku;barcode_1;supplier_1_order_code;title_short;supplier_1;supplier_1_purchase_price_net;price_trading;price_sale-nl_NL;price_advice;vat_code_NL;threshold_quantity;supplier_1_amount_order_factor
418267;8719075948125;BU-67803;Rubber oche mat 300x60cm;12750;23.95;0.00;47.95;0.00;2;;0.00
418440;0731882301816;0731882301816;Mallorca Easy Air;14670;174.28;0.00;399.00;0.00;2;10;1.00
418761;0731882301762;0731882301762;Stockholm 6 tent;14670;158.46;0.00;400.00;0.00;2;;1.00
418762;0731882301717;0731882301717;Stockholm 6 frame;14670;59.42;0.00;150.00;0.00;2;;1.00
419575;8718924888414;1445;Popal Max 14;13680;68.00;0.00;119.00;0.00;2;0;0.00
419654;8711295309670;856000190;Kruidenmix in blik;700083;0.92;0.00;1.95;0.00;2;;0.00
419655;8718158872142;176100180;Afwasbak opvouwbaar;700083;2.75;0.00;8.95;0.00;2;20;8.00
419664;8712442136002;23367184;Badstof stoelhoes XL;2600;2.70;0.00;9.95;15.95;2;20;24.00
419925;8712013062259;3506225;BC Noppenmatras 190x60x6cm;2;10.00;0.00;16.95;25.95;2;20;5.00
420890;0035585125008;513369;Kong Classic Xs;17950;3.17;0.00;5.75;0.00;2;;4.00
422982;8712442150701;23375212;Afdruiprek opvouwbaar 36x31cm;2600;2.15;0.00;7.95;0.00;2;40;6.00
423429;5411501253249;23404/1041;Aeris Spinner 68 Black;17980;65.71;0.00;79.00;155.00;2;;0.00
423431;5414847327049;23404/1896;Aeris Spinner 68/25 Vivid Blue;17980;65.71;0.00;79.00;155.00;2;;0.00
423437;5414847651717;73349 /1041;Cosmolite Spinner 55/20 Fl2 Black;17980;160.43;0.00;199.00;369.00;2;;1.00
423438;5414847651724;73349 /1549;Cosmolite Spinner 55/20 Fl2 Midn.Bl;17980;160.43;0.00;199.00;369.00;2;;1.00
